"item_code	item	unit_price	company_id	company	sale_phone_number"
"1	phone	100.00	1	samsung	05423666589"
"2	phone	150.55	2	vodaphone	01555343422"
"3	phone	182.99	3	apple	08282826888"
"4	phone	163.99	4	sony	01555343422"
"5	tablet	55.82	4	sony	01555343422"
"6	headphones	182.33	4	sony	01555343422"
"7	smart watch	165.23	1	samsung	05423666589"
"8	headphones	99.99	3	apple	08282826888"
"9	tablet	83.75	1	samsung	05423666589"
"10	tablet	59.34	2	vodaphone	01555343422"
"11	tablet	86.55	3	apple	08282826888"
